Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"d:\Program Files\Common Files\Microsoft Shared\MSInfo\IEINFO5.OCX","Unsigned","06:54 25/03/2005","n/a","Microsoft Corporation","Microsoft System Information IE Extension","Microsoft® Windows® Operating System","6.00.3790.1830","6.00.3790.1830 (srv03_sp1_rtm.050324-1447)","64-bit","A765CDBE810DCF99F11BE9FD7B080B63","F3FEB26A53474A101ECAB42E54AFF8D5D6208877","43EA1610CB743C41540CE94A8A548C49CBD96116","C23F34C7AE9931805873F9DD52FE90739B25C397A099D548588C2EAE77AEF5FA","A3D0031FDB4401DB83B93A14B2C832BBC70FACBC1B524A4402BE122CCF54313C","A18F4875C067658D2891C7EBE24ED964"
"d:\Program Files\Common Files\Microsoft Shared\MSInfo\msinfo32.exe","Unsigned","03:41 25/03/2005","n/a","Microsoft Corporation","System Information","Microsoft® Windows® Operating System","5.2.3790.1830","5.2.3790.1830 (srv03_sp1_rtm.050324-1447)","64-bit","FF9146FD0F8F61CD70DDDCFCC48310B8","79051F6E721727BC4BA626FAA7109030E4C2D7FE","6CB056FCC9241271D0EAA66E72C2BAF119387E40","9729DADA337FCD64AE3014232B1E82638D4448A3C3471D2D0B4CA9550F0CF141","FEDD07F17A34482702B2E411048D1322A73248F9D9DA3BE6006E3B810BD388A0","8404313DA7154ABCD12B3F99F76D7BBE"
"d:\Program Files\Common Files\Microsoft Shared\Speech\sapi.cpl","Unsigned","06:54 25/03/2005","n/a","Microsoft Corporation","SAPI 5","Microsoft® Windows(TM) Operating System","5.1.5124.00 ","5.1.5124.00  (srv03_sp1_rtm.050324-1447)","64-bit","6BBEA754FB330D5EB6F68AF6CDD9EC52","694504008FA834D4E9252663719467B0910EB905","D5F5396975C7ECB4E92CEB1061D2E693B2058F21","94B4FEA99BB918CBA07CA884DF245A41F3D455BA6B889715DE4A301A9CF7B7BD","BF4445E18A5ADA2101B028DA9CDCC95617BDDBCBC3DA4DD7E494286104C1E7C5","FF7CE39E18B22090CC1830971C707DF6"
"d:\Program Files\Common Files\Microsoft Shared\Speech\sapi.dll","Unsigned","06:54 25/03/2005","n/a","Microsoft Corporation","SAPI 5","Microsoft® Windows(TM) Operating System","5.1.5124.00 ","5.1.5124.00  (srv03_sp1_rtm.050324-1447)","64-bit","8018EBD48F7D1BE6BF05F9EA722C7E60","6BBAFE6BEADDD9B387653288FEC3C744AD3FF2FD","5577D4BAFB9E637CBDAAF3199BEA5C4304903EBB","2BEA727DCEB3A974C527621BAF5C5974DC3083AD6B5E5D8BCEAAD8BC6D053CD1","D0432513664B0D9B304D000F596AA5C8146C9ECEE8741E9A5190EAC972A4B9C0","4AB836FE4F7BEBD3D898E73F1AFC3B13"
"d:\Program Files\Common Files\Microsoft Shared\Speech\sapisvr.exe","Unsigned","03:41 25/03/2005","n/a","Microsoft Corporation","SAPISVR 5","Microsoft® Windows(TM) Operating System","5.1.5124.00 ","5.1.5124.00  (srv03_sp1_rtm.050324-1447)","64-bit","0EF6B9A9CF20395485827F13D7889025","E23E68188056BC61FC0BB50877BF54B169B9970E","7F3D7741B3313CA4C09DC4FCFD137AA33D672974","F4B4D6B0F561B1BC9C15FA9171473C521D86A5BEEFD9575CE2D172858D35B538","7D19BE6316D462F8F443C8A8884E44E2981344CB6BF2D3044599C891F59AB2AA","5421C4181121B27DB383C2EA43F88B98"
"d:\Program Files\Common Files\Microsoft Shared\Speech\1033\spcplui.dll","Unsigned","06:55 25/03/2005","n/a","Microsoft Corporation","SAPI 5","Microsoft® Windows(TM) Operating System","5.1.5124.00 ","5.1.5124.00  (srv03_sp1_rtm.050324-1447)","64-bit","E45BDD7AB083A3D2BF45347ED7A4307A","478DD82B06AAE4F4E9123E3C0AEDBAB5C4146FB4","5C4FB190422CD37E3F942367D3D2B782EB362E69","28A66EE4A0D0DDC5466AFD2E476648DBD1E49D3C46E36E3D584BA5047A96A26C","E9812B5C952D19CB2DD6EA036EF8E87472B36086733889D3F0D218530C71E3A8","n/a"
"d:\Program Files\Common Files\Microsoft Shared\VGX\vgx.dll","Unsigned","06:54 25/03/2005","n/a","Microsoft Corporation","Microsoft Vector Graphics Rendering(VML)","Microsoft Vector Graphics Rendering(VML)","6.00.3790.1830","6.00.3790.1830","64-bit","6E392F8029E5314033926BC135D5C921","AF70D7C0FB56705EA2155AD2631F942DCD9A5C4D","2D993249E42E9B5B4561EAC1C352E04CB3B5615B","68B9BB5827EB8F3D0C0310D2D9AF4A313F482131514F11A4B9A74918A69B35C3","9F541C882A76797776FC1A2F70F413A45DD93576602EEADC2C9AF01AC2A090E1","30B58295D582864625094E395F3C5565"
"d:\Program Files\Common Files\SpeechEngines\Microsoft\spcommon.dll","Unsigned","06:55 25/03/2005","n/a","Microsoft Corporation","Microsoft Speech SR/TTS Common Library","Microsoft® Speech Engine","5.1.5124.00 ","5.1.5124.00  (srv03_sp1_rtm.050324-1447)","64-bit","D5965CD690D4F5B7A79BE35D5507F585","741AA9431C7417A90D1625B34CD0B78E4E7FA784","0572CE0F8BC7647351552560E82AAD3DE362730D","6D6D2DECA960EC73C831A336E8D79E77098AAFF1F772E659749910F3148C76B3","A0475D7513CBA997DCB16CF4A5730E9B5F595A5739C5DD8A7427B4C873695009","27BBE9EE56EB44930C85300192D4A2C8"
"d:\Program Files\Common Files\SpeechEngines\Microsoft\TTS\1033\spttseng.dll","Unsigned","06:55 25/03/2005","n/a","Microsoft Corporation","SAPI 5","Microsoft® Windows(TM) Operating System","6.0.5124.00 ","6.0.5124.00  (srv03_sp1_rtm.050324-1447)","64-bit","0A8B581A5D57752B76B1E55CDAEDD1AA","08A92B6E9A1292982C38B784BCE1688B45201875","E66375C1419A540DDA6700FD13DCA185475E1D53","D3F62B0D7220D2B35B8216CC1B34801406FE0CEC7D011C688DF8D888E2696ED3","0063622A6671B7E5235C5E1B3F4BF08D2BB02F6AA1C5CDDAF6B533B90D3BAAC7","C3215FF504FF2B451ECDECA0ADE50306"
"d:\Program Files\Common Files\System\directdb.dll","Unsigned","06:54 25/03/2005","n/a","Microsoft Corporation","Microsoft Direct Database API","Microsoft® Windows® Operating System","6.00.3790.1830","6.00.3790.1830 (srv03_sp1_rtm.050324-1447)","64-bit","54E48AA05C84B74BBCC5E054AFAB5A64","01BF90C937A3E8447782EC8BCE05FB201662887A","6D75B49A94B55057A5D391D3BCE440F6CE4D19DB","72D8CD91600FF969D8FEE118AC437D4454F181B9DE2561CE42F37E0ECD08E5A5","E1F4805443474936818096A65334345E90C56A525D49355F90AAA93EC666CF82","F5F4A4BC0AE81F6A2BADBA46745DF6B7"
"d:\Program Files\Common Files\System\wab32.dll","Unsigned","06:54 25/03/2005","n/a","Microsoft Corporation","Microsoft (R) Address Book DLL","Microsoft® Windows® Operating System","6.00.3790.1830","6.00.3790.1830 (srv03_sp1_rtm.050324-1447)","64-bit","CCAF3AC61BAED8408C34AEDD2047C7F8","AC2BAE6B3A5908FCFE6C924C028ACB64B99AC2B1","5211A33C408B82552FEB1BBA2CDB032B3739C231","419EDE5FD2A7DD8AC82D4F03CE7943C2E463E12E854D436D334B8DA5D1A088D6","AAA9DA47C1A32E338A883449CA66D627902C0A8466955B65685CB0E69CE621AC","09423ECB14BB8D3293506A52996A64B4"
"d:\Program Files\Common Files\System\wab32res.dll","Unsigned","06:54 25/03/2005","n/a","Microsoft Corporation","Microsoft (R) Address Book DLL","Microsoft® Windows® Operating System","6.00.3790.1830","6.00.3790.1830 (srv03_sp1_rtm.050324-1447)","64-bit","9A20570BD8E1F66261F4AA9BDA71CDAC","8D9FA0058CB43C6406219F837C4F10791CBA7BA6","61987CF894EA0BA87704C803D7EB507C1EC2B673","E13184FB9B2CFDBA361F613D4603DD8B59B105D90A067F97A2D7FF9B9346F470","E92229AD8BFA4A96EB8EBB04D90A84789EE37C27EC33DE8D61932B098E16136D","n/a"
"d:\Program Files\Common Files\System\ado\msader15.dll","Unsigned","06:55 25/03/2005","n/a","Microsoft Corporation","Microsoft Data Access - ActiveX Data Objects Resources","Microsoft Data Access Components","2.82.1830.0","2.82.1830.0 (srv03_sp1_rtm.050324-1447)","64-bit","052E5FEF3352CE4A0B573686DCF41457","60C5F8A09C1595FE37A63D845B8FCBFBC2212DC6","A96F2C4FDA099CA2FD53845ED2420882A4E8642F","F4031AA1F005D8DFF845224984513986A64F96EDBE63D7D7CA89704691ADA5F4","ED022FD5A79D77AB623C64D0C7F992F09EC911CCE7995DEBD868EB579ACA47CE","n/a"
"d:\Program Files\Common Files\System\ado\msado15.dll","Unsigned","06:55 25/03/2005","n/a","Microsoft Corporation","Microsoft Data Access - ActiveX Data Objects","Microsoft Data Access Components","2.82.1830.0","2.82.1830.0 (srv03_sp1_rtm.050324-1447)","64-bit","0108171F87B497990BAF0DEABC86C848","1CAA5335A11BC45667EEC720BB9D2D3B5F8AE026","1B140EF6851A22D96C36BB116FDD57CE8698E628","498D5C442D8D7BFCF7EAFC1462F63C99DC6C6BEFC24692A32EE862B6C8CDFAA9","748024730FDAA7BC69EFD62E72BC3870FBC08BE70496C92A89D7B4FEC5AE536B","00562B94B22993D946B394C04BBCF1E0"
"d:\Program Files\Common Files\System\ado\msado20.tlb","Unsigned","02:05 25/03/2005","n/a","Microsoft Corporation","Microsoft Data Access - ActiveX Data Objects 2.0 Type Library","Microsoft Data Access Components","2.82.1830.0","2.82.1830.0 (srv03_sp1_rtm.050324-1447)","64-bit","BE16D1460E9031E6738BCA8D5433669E","23A50BD2039B832DC1AB505182661353122E3C9D","CC0A61060D9623D19F5544BBE9C5EB00A000939F","4EE63C2B6FB922185328337E85E9C6E8E11C081E016157B0DE9AC87C94C47E21","5E5B35C0A8FAAA951C3EFAFD33E8632349375C3DAAF5070D7A32023F057A48E0","n/a"
"d:\Program Files\Common Files\System\ado\msado21.tlb","Unsigned","02:05 25/03/2005","n/a","Microsoft Corporation","Microsoft Data Access - ActiveX Data Objects 2.1 Type Library","Microsoft Data Access Components","2.82.1830.0","2.82.1830.0 (srv03_sp1_rtm.050324-1447)","64-bit","CD2F3C9F2DFBBE35090F29A736E51B33","D0F52153A590FDE716F8209408BB48A7E8C320D9","3679CC55C161D2ADA9E2B1A2CCBEB31A8724F8CF","1774C2E84FD39BC1B54700EE99BE68C4D3C4A62023BB7DF9A8F7DD0383E05EEE","00FE4191295127E5751BEBBA4FDAFBE9327197407EAB602FF0FFD52CA7AA451E","n/a"
"d:\Program Files\Common Files\System\ado\msado25.tlb","Unsigned","02:05 25/03/2005","n/a","Microsoft Corporation","Microsoft Data Access - ActiveX Data Objects 2.5 Type Library","Microsoft Data Access Components","2.82.1830.0","2.82.1830.0 (srv03_sp1_rtm.050324-1447)","64-bit","7A77BE7A832CB1D46A67720E0C496050","A764C1144A548448ED0B638DCBAB9292A6C1BEB6","D2A336DF4FAE4856B1CFE4E7A1ABB9623AF15B79","EE55F2A68018C4FD1AF32D206EDE6E22715DEF3B8AC9D49E4A3152C57F118B6E","C759968FA119DAEF847A2A572944023046D247DC4AA6952C9D9AD8BFCBDA77D6","n/a"
"d:\Program Files\Common Files\System\ado\msado26.tlb","Unsigned","02:05 25/03/2005","n/a","Microsoft Corporation","Microsoft Data Access - ActiveX Data Objects 2.6 Type Library","Microsoft Data Access Components","2.82.1830.0","2.82.1830.0 (srv03_sp1_rtm.050324-1447)","64-bit","66F25E47B78EEB797D580DDDFAE67D58","12EF30C016B268967B131622BC83A4A984CCDA41","3231D1703A1D2DF566CA292FE7F3B36384E1F0BE","70489303D127E644CC0FF5ECEA742D3908B6DD1A27F6AAE4C58833569E5F9372","636C624FA0B30814EF4BDDC4F8E8C1ABFC247011E729FA268C3D80184C19E83A","n/a"
"d:\Program Files\Common Files\System\ado\msado27.tlb","Unsigned","02:05 25/03/2005","n/a","Microsoft Corporation","Microsoft Data Access - ActiveX Data Objects 2.7 Type Library","Microsoft Data Access Components","2.82.1830.0","2.82.1830.0 (srv03_sp1_rtm.050324-1447)","64-bit","ABB80F662E238C366B29EB261F9E1688","98725E8AB5368D6C9F92829168F3CF7CF99691B4","02A3974415F38D686B13440570191409D6820276","7DCA4F20843203A8DECBE34C573A76085294CFB75B5650E8D19718D30C0A675F","CC5D2F18494746648293957DEAA2BC0E7BF411D26A1BC9CE5F04FF8DBB4264C7","n/a"
"d:\Program Files\Common Files\System\ado\msadomd.dll","Unsigned","06:55 25/03/2005","n/a","Microsoft Corporation","Microsoft Data Access - ActiveX Data Objects (Multi-Dimensional)","Microsoft Data Access Components","2.82.1830.0","2.82.1830.0 (srv03_sp1_rtm.050324-1447)","64-bit","72B181051276F7605BDF2FF0797C8C69","04304F3EB0524FC3194B4470F3018B3A9B048E4E","0BFBE42333959BE214E2DA8F8DD454D8D38100BC","2D71C63213342F192CA96CFBC109523EF695FF423C5D7F797A3814503C1BE2E9","572392AB9BCA1FF7C7534B746A33B1DD81147F234FAFEDF25D3A14C39FEBCCE9","8789E757E18FDE5F8C3412ADEFF22AC6"
"d:\Program Files\Common Files\System\ado\msador15.dll","Unsigned","06:55 25/03/2005","n/a","Microsoft Corporation","Microsoft Data Access - ActiveX Data Objects","Microsoft Data Access Components","2.82.1830.0","2.82.1830.0 (srv03_sp1_rtm.050324-1447)","64-bit","B199AFAC31ED182C13BAC7CB8AC4EC9D","122E22F9E79281C9501F8578CF628840D0BAA742","C8995C2D749E454B79F0E44762F27EFD9178950E","16ED93CC462E6E924FEDE05269CB1116743D9241502ABB37D3DCC50946B1534B","A071D36EC0ADF6DEA87015E90B3800BF1B84656AD00D6871C8AE0A9EF80316BF","9B4CDD339FD78ED7F6997D5E05C129C7"
"d:\Program Files\Common Files\System\ado\msadox.dll","Unsigned","06:55 25/03/2005","n/a","Microsoft Corporation","Microsoft Data Access - ActiveX Data Objects Extensions","Microsoft Data Access Components","2.82.1830.0","2.82.1830.0 (srv03_sp1_rtm.050324-1447)","64-bit","DA0588ADD314A78EEB2C9E9F466E2725","223E7E0652DE79648327CA611992AD1CD119148A","5611CC60B8CEEC9AA5AD85534F01D8A35F42661F","BC422F9046202F07C0B5ABBDCF4A2F746E6A9B9A97BEA2CEA182C9920C3C299C","5E4928925EDE4CBB9094A8B4D06EA08CCFFF17A8E50EEF1E2E41D851775392C8","615D8B275759A54C555AB25799D3F424"
