Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"d:\WINDOWS\system32\diskcopy.com","Unsigned","23:53 17/08/2001","n/a","Microsoft Corporation","Disk Copy Utility","Microsoft® Windows® Operating System","5.1.2600.0","5.1.2600.0 (xpclient.010817-1148)","32-bit","C9930835AD3C23E37C0CF5D8102EC403","24E3F019C9546AE499F8ABF11F28DAECAE726C26","9C742A32B151650507378D9B6E2484E7A4BAA10E","4D228BB88213488FD240124ECFDA77B3CDDD4445BB29EC9AA63D4F1121DBED9D","D6A9DA27E33A5613689CBEBBE9CC66FB0989D92FF0118B1D58A0687126C823A9","47D09B0F654E491C70E23B5609E8C2BE"
"d:\WINDOWS\system32\diskcopy.dll","Unsigned","03:09 14/04/2008","n/a","Microsoft Corporation","Windows DiskCopy","Microsoft® Windows® Operating System","6.00.2900.5512","6.00.2900.5512 (xpsp.080413-2105)","32-bit","D62E7A444FFBA599A49C0BF93FB004F1","D53B5E4F221D4CB8DDAE0CB6FE73E22796AAAE5A","8C1D8455279FFAB4283BD52983D6C3D5AF89193B","EE1B641B54B7CAB8F5AE675F20D6BCA62F3305C56FA14DBE3E0FAC369CB1FD9D","4D902F56E0EA7CF8C8ABEAB710EC99EF3BF034808D31C015EFD4482EF3B5B9AD","C870C41C07AFFE735BAB190161B64030"
"d:\WINDOWS\system32\diskpart.exe","Unsigned","21:44 13/04/2008","n/a","Microsoft Corporation","Diskpart Application","Microsoft Corporation Diskpart Application","5.1.3565","5.1.3565","32-bit","51C2BBF52894411B0A2D4D3D72ABEEA4","D13724E782F9A38491DBFF88A58AC8F26C2A7895","9348D031C747D4A6A72A49F3F3FEAC397B619DD8","DC1295DCEC8DAD2CEC53A755503037E4A7479AE9CBBF53582830426DB60CFCE2","65C8CDFF7B0A577FD0DB72B745463062A5F386B20C6CCED8B2A3D2DB1A49F751","C6F240CD8986B0D3FD4D0AB205943D36"
"d:\WINDOWS\system32\diskperf.exe","Unsigned","23:58 17/08/2001","n/a","Microsoft Corporation","Disk Performance Configuration Utility","Microsoft® Windows® Operating System","5.1.2600.0","5.1.2600.0 (XPClient.010817-1148)","32-bit","6EAE0D36C471A19EB45BED40B16D6C1C","5D2DDDE04F646190AF5959C0C3B9569E14BFC570","BD06D47D8025596805856E0A3E8EDC8CD99E87FD","9BA9231C60DF2A83BFB0DCAF5E7909C072B8284B594F53D1B497F1BCB96E0CD9","C12D20843087CD5B028975C9CB830D3BA24DA87682CD9427D7CA14A5611AE541","942CA7E2DAECE5D2E34B28410D793E5B"
"d:\WINDOWS\system32\dispex.dll","Unsigned","03:09 14/04/2008","n/a","Microsoft Corporation","Microsoft (R) DispEx","Microsoft (R) DispEx","5.7.0.16599","5.7.0.16599","32-bit","78E862846112347EEE8214B649AE563F","D485D89F58716DE489BEF5F4B44BD0ECB1683EFA","E2A389C9A66FB3D6507D328ECFB7F6910473B745","D6707A4F9C1CAFD79CECA504BBE4DD73903478A97D8E261B1ED8B8988790F9AD","D6F62D9F77D1C210967C328ED890842D8C5FC6EC42805826D4F5365C3A4E09B6","3076CF43AE60497941FDA747682F2D5F"
"d:\WINDOWS\system32\dllhost.exe","Unsigned","21:31 13/04/2008","n/a","Microsoft Corporation","COM Surrogate","Microsoft® Windows® Operating System","5.1.2600.5512","5.1.2600.5512 (xpsp.080413-2108)","32-bit","0A9BA6AF531AFE7FA5E4FB973852D863","5D0B0222B0F37A85D64B9283611E940313E21348","DD82720314A50135F39791FA3D96FD6AB5290C23","D3152979E997C9A6F3C814DEA32552B5E481C213C0C3A99BC104128F44E4A06C","8A8116429189D631FC00596278C92A363EC734F0CDE76F52C7456FDC9C56E384","4FF1F68CCD29A7B7095C4514D9D1011D"
"d:\WINDOWS\system32\dllhst3g.exe","Unsigned","23:48 17/08/2001","n/a","Microsoft Corporation","COM Surrogate","Microsoft® Windows® Operating System","5.1.2600.0","5.1.2600.0 (XPClient.010817-1148)","32-bit","58A73CEA70897E4C5BBDA51A823521DD","A1EC148A9BF58BDC496AE5811A8478F1DAEBDF11","7F5A4FE1FDC7DF1B9F6C9231EED4D94E88D8D68E","2A4C24C896359D3DE5E81B8DECB7DBEF3696470F7E42AD5531E8AFAB3AD9F07E","DDD875E8D4AFEC9E0C9B100E5E7639F9E42226F8D7CA9BEA55B0E41DE5804BB0","4DAA50FB1BFDE898CF3800CD964C91DC"
"d:\WINDOWS\system32\dmadmin.exe","Unsigned","21:44 13/04/2008","n/a","Microsoft Corp., Veritas Software","Logical Disk Manager service process","Logical Disk Manager for Windows NT","1.0","2600.5512.503.0","32-bit","E46050330BD42F33609117F861E32D3C","26DAB1CC620A62B6382D84C350D334B86A0345D3","90B76BEFE0A74AB8F65D0643D3420F67BE7F453E","10D522E79A8DDB4818EAE3FBC8BB88607BF50824DB0BABC28DB47149189C358A","21D8902946342D4AD981F46D3A3224E1C7F8A803F34C5628CB2BBFD008F9881B","059C8B5C9FCBB1AB63E14CAE9688B3FB"
"d:\WINDOWS\system32\dmband.dll","Unsigned","03:09 14/04/2008","n/a","Microsoft Corporation","Microsoft DirectMusic Band","Microsoft(R) Windows(R) Operating System","5.3.2600.5512","5.3.2600.5512 (xpsp.080413-0845)","32-bit","A68D8FCA5F4A24C5DA10DCB4CF9CE234","2BA0A6934943115EA283151C2743EBA33E9C6224","0FD7E588A30B5A2EAFAC3B662484398571058A6B","58DF563EF9F2725B5E675DA3986A2589B5942A5D2A806F20E7EEFAA923846642","5CAD1968675A305DB63D67A299056FB0E7434B6B49AD213590454580C3AAAC6F","E7B6CB6637B2A1EE4F74D31F312249CF"
"d:\WINDOWS\system32\dmcompos.dll","Unsigned","03:09 14/04/2008","n/a","Microsoft Corporation","Microsoft DirectMusic Composer","Microsoft(R) Windows(R) Operating System","5.3.2600.5512","5.3.2600.5512 (xpsp.080413-0845)","32-bit","0A1A3BB6565D1C73E0B6AA070C7FDA45","58EB719A08808135FE769BBFCDA33BD14F62B437","0E6C1FA88BCD8F7AA510ECC544AD1B3A15F1B629","80BB55AF85B73155690B8CE3646CFBD419A68B247976619723CDCAADFEB75A94","0A6CFC9935B31B9557FA5532613DA6A069D48744DE406A432E015424343DCBE6","B348C7B0AF405A10164D3C5600A848CF"
